,filename,label_text,label,0.00 hz,86.13 hz,172.27 hz,258.40 hz,344.53 hz,430.66 hz,516.80 hz,602.93 hz,689.06 hz,775.20 hz,861.33 hz,947.46 hz,1033.59 hz,1119.73 hz,1205.86 hz,1291.99 hz,1378.12 hz,1464.26 hz,1550.39 hz,1636.52 hz,1722.66 hz,1808.79 hz,1894.92 hz,1981.05 hz,2067.19 hz,2153.32 hz,2239.45 hz,2325.59 hz,2411.72 hz,2497.85 hz,2583.98 hz,2670.12 hz,2756.25 hz,2842.38 hz,2928.52 hz,3014.65 hz,3100.78 hz,3186.91 hz,3273.05 hz,3359.18 hz,3445.31 hz,3531.45 hz,3617.58 hz,3703.71 hz,3789.84 hz,3875.98 hz,3962.11 hz,4048.24 hz,4134.38 hz,4220.51 hz,4306.64 hz,4392.77 hz,4478.91 hz,4565.04 hz,4651.17 hz,4737.30 hz,4823.44 hz,4909.57 hz,4995.70 hz,5081.84 hz,5167.97 hz,5254.10 hz,5340.23 hz,5426.37 hz,5512.50 hz,5598.63 hz,5684.77 hz,5770.90 hz,5857.03 hz,5943.16 hz,6029.30 hz,6115.43 hz,6201.56 hz,6287.70 hz,6373.83 hz,6459.96 hz,6546.09 hz,6632.23 hz,6718.36 hz,6804.49 hz,6890.62 hz,6976.76 hz,7062.89 hz,7149.02 hz,7235.16 hz,7321.29 hz,7407.42 hz,7493.55 hz,7579.69 hz,7665.82 hz,7751.95 hz,7838.09 hz,7924.22 hz,8010.35 hz,8096.48 hz,8182.62 hz,8268.75 hz,8354.88 hz,8441.02 hz,8527.15 hz,8613.28 hz,8699.41 hz,8785.55 hz,8871.68 hz,8957.81 hz,9043.95 hz,9130.08 hz,9216.21 hz,9302.34 hz,9388.48 hz,9474.61 hz,9560.74 hz,9646.88 hz,9733.01 hz,9819.14 hz,9905.27 hz,9991.41 hz,10077.54 hz,10163.67 hz,10249.80 hz,10335.94 hz,10422.07 hz,10508.20 hz,10594.34 hz,10680.47 hz,10766.60 hz,10852.73 hz,10938.87 hz,11025.00 hz
0,70Funk.wav,snare,0,0.11746874,0.20106512,3.6662269,7.554432,5.356165,2.4702249,1.9623729,0.7527583,0.42227745,0.7652736,0.33604226,0.20192638,0.22176865,0.58908117,0.4109512,0.19594438,0.066603534,0.03020489,0.12239978,0.13240606,0.06243215,0.07423623,0.0831666,0.05607767,0.09000228,0.112695366,0.09862487,0.05408916,0.08287537,0.05372958,0.04978976,0.11595313,0.07567189,0.02884558,0.040220547,0.054400805,0.055014297,0.016788024,0.011587317,0.013531912,0.030262984,0.03253524,0.02155253,0.043692086,0.021538718,0.032670997,0.017344382,0.021740412,0.015342286,0.02030231,0.023175746,0.012922018,0.009269714,0.00798079,0.010786687,0.011037611,0.016919062,0.014982836,0.011235232,0.010143777,0.027010428,0.027238218,0.019830331,0.009769832,0.0064940653,0.010437109,0.010023935,0.012964496,0.0145747075,0.010747826,0.020362454,0.01103243,0.013302858,0.014208656,0.007106244,0.0058886027,0.008904794,0.0055042617,0.006079628,0.0057626152,0.009827548,0.003985715,0.0060772565,0.009334819,0.0065675005,0.003153625,0.0032404293,0.009132955,0.012271511,0.005342273,0.006160277,0.006059187,0.0029434906,0.0038276433,0.0038653724,0.0032136985,0.0036241475,0.0015592511,0.001815707,0.0034362483,0.0016466901,0.0019893807,0.0015384337,0.0022363209,0.002458578,0.005351991,0.005180268,0.004064934,0.0025050426,0.0013403386,0.001052834,0.0010611577,0.00097503373,0.00065039773,0.00052462734,0.0014020317,0.0015573523,0.0013770984,0.00044374767,0.00027244046,0.00019853804,8.3024715e-05,7.1166025e-05,6.7755034e-05,4.0537332e-05,3.4522234e-06,5.2776164e-07,1.05468466e-07,7.2867774e-09
1,8oh8  Rim.wav,snare,0,0.003148335,0.012814023,0.37567765,1.0503205,0.16490252,0.08952446,0.16769189,0.1522298,0.11728255,0.009487256,0.018319216,0.04124895,0.035658404,0.029378852,0.028831568,0.010798125,0.023971204,0.018581867,0.016527167,0.01566284,0.028664839,0.021929609,0.027511496,0.023931501,0.026353516,0.05952479,0.06849428,0.033690713,0.01571448,0.020728355,0.036646456,0.014958669,0.045512576,0.05820413,0.044987902,0.034939036,0.043581538,0.06906001,0.0523001,0.030843712,0.031341925,0.01819836,0.019875497,0.016349107,0.022296997,0.038783807,0.032409765,0.027993858,0.025738768,0.039268393,0.0339047,0.03382618,0.029858133,0.0155492155,0.032384668,0.021196676,0.009973263,0.010965992,0.018800773,0.012429416,0.01687084,0.014199937,0.01283655,0.01575761,0.01059635,0.007576668,0.0067010047,0.012368723,0.009002641,0.006222951,0.0043657823,0.009383318,0.011034429,0.012421906,0.0076028453,0.003836377,0.0035657089,0.0051550437,0.005649613,0.004452474,0.0037058631,0.0043407218,0.005544838,0.0048418683,0.0043290565,0.0032803502,0.002395176,0.0030623365,0.0054361857,0.0033184974,0.0015680107,0.003603291,0.0027728833,0.002978955,0.0039804634,0.003339242,0.0022692734,0.0026908608,0.0026009926,0.003793361,0.0040444457,0.0026516365,0.0029424157,0.0020173145,0.0018874416,0.0012304137,0.0025807559,0.0020380076,0.0020527022,0.0031065557,0.0031073927,0.0019596212,0.001505568,0.0014102636,0.0016815426,0.0017011778,0.0012127605,0.0007732191,0.0011058974,0.0011221574,0.00073676056,0.00030410092,0.00021136619,0.00012797916,3.6360692e-05,6.3079074e-06,1.2664123e-06,1.366164e-07,3.532417e-09
2,8oh8  Tin.wav,snare,0,0.006759313,0.039368097,0.3859029,0.25409064,0.08665096,0.13772823,0.19744739,0.055508252,0.08598561,0.17066182,0.071840234,0.048754428,0.029568778,0.025870578,0.031869847,0.04661979,0.052326158,0.019006848,0.015369704,0.018199567,0.021474866,0.02275371,0.021221785,0.02868429,0.034315336,0.04179582,0.03963325,0.028325468,0.024220467,0.024543688,0.029882831,0.018930923,0.037564196,0.025418852,0.019899605,0.027988331,0.030818634,0.035540733,0.03039608,0.021912344,0.02992029,0.016455311,0.014478706,0.017459253,0.0181556,0.02539694,0.022218766,0.016398927,0.017087497,0.027064024,0.020279096,0.013653875,0.014116864,0.012805433,0.023000035,0.018486401,0.0076606357,0.01263584,0.01534378,0.0084333895,0.010273394,0.010064429,0.012587519,0.0132770175,0.009196533,0.009274514,0.0070593213,0.0083137425,0.0056347856,0.006300417,0.004201866,0.0036888882,0.006492608,0.0076258425,0.005007068,0.0018887003,0.0017017856,0.0041172975,0.005301157,0.0036965597,0.002297987,0.002705273,0.0037266267,0.003344414,0.0019460041,0.0018645368,0.0018563427,0.0030152244,0.0035887847,0.0016639954,0.0015296809,0.0020457066,0.0019597167,0.0020508382,0.0027289193,0.0024090335,0.0013069845,0.0017794039,0.0015377658,0.0024736507,0.0022743735,0.0013713709,0.0015158247,0.00095489377,0.00096474175,0.0008057199,0.0015944032,0.0014169748,0.0010721526,0.0014027572,0.0015564857,0.0012164158,0.0010054705,0.00089411583,0.0011039887,0.001335291,0.0008733175,0.0005253744,0.00067197694,0.00063349947,0.00039104864,0.00016912597,0.00012836141,7.4417694e-05,2.4411856e-05,3.428694e-06,7.285032e-07,7.2238514e-08,2.4916256e-09
3,8oh8 Snr.wav,snare,0,0.0030826197,0.0013589764,0.021241015,0.05326113,0.0266447,0.39354149,0.77968013,0.111111,0.0056923665,0.0046911878,0.0049879616,0.012618831,0.019283647,0.042731598,0.06289093,0.06488539,0.058586914,0.022823816,0.02476274,0.04511305,0.0701298,0.070766844,0.08864584,0.095916055,0.13005975,0.23515964,0.29775864,0.13118465,0.056056164,0.0892533,0.12404317,0.04121788,0.12728314,0.16119157,0.14431961,0.15780659,0.17236799,0.20612039,0.16622232,0.10315394,0.122581415,0.061110064,0.062447894,0.06560698,0.077178076,0.11338159,0.11255272,0.11342901,0.09756054,0.15499705,0.13314007,0.10625924,0.08431562,0.071174525,0.12841883,0.07910256,0.032927584,0.04207689,0.062023353,0.041434478,0.053257912,0.04962289,0.050375987,0.058250554,0.034840394,0.029505251,0.024820518,0.043824002,0.026879568,0.021806294,0.014464472,0.028297959,0.036139894,0.040618278,0.02658818,0.013400575,0.013824313,0.020124504,0.025584327,0.015936235,0.011199984,0.015056789,0.020699015,0.019068243,0.014108945,0.010344311,0.00937335,0.014897918,0.022330506,0.011398189,0.010216848,0.014822753,0.010032057,0.010646243,0.016365776,0.013152083,0.008206935,0.010501344,0.009247388,0.0145144425,0.014299377,0.00937493,0.009570049,0.0068875332,0.0064212875,0.004839512,0.00976678,0.007475678,0.007462959,0.011264544,0.010883833,0.006941944,0.0056574596,0.0055434243,0.0061084535,0.006274899,0.004613218,0.0028235407,0.003957704,0.0042491085,0.0028495027,0.0010791819,0.0007814917,0.00052699784,0.00016099827,2.3818326e-05,5.044927e-06,5.018216e-07,5.197483e-08
4,9oh9 Rim.wav,snare,0,0.0065711946,0.007393766,0.033357136,0.45857406,1.0564137,0.43584123,0.060803406,0.11066281,0.03774585,0.04363746,0.025988137,0.012516597,0.022410467,0.037255913,0.029606778,0.008192634,0.016230173,0.00812634,0.012672518,0.012667367,0.0056948317,0.006272146,0.0042031175,0.006848659,0.008904397,0.0037738194,0.0036607943,0.003889613,0.0029501428,0.0017985792,0.0015270233,0.0018910852,0.003072566,0.0020381694,0.0012920722,0.0036494671,0.0053168577,0.0039050514,0.0039043583,0.003954083,0.002572387,0.002724088,0.003053734,0.0019007475,0.0016389414,0.0022457195,0.0020602513,0.0022729228,0.0031625386,0.00389309,0.0027942797,0.0015257987,0.0018358107,0.002530642,0.0026502113,0.0011400317,0.0011091662,0.0009555001,0.0015301318,0.0014165873,0.0011873967,0.0012950955,0.0013199884,0.00154514,0.001099407,0.0008199054,0.0006762987,0.00082559127,0.00097442593,0.0015181708,0.00095314457,0.0013424493,0.0014028904,0.00070392876,0.0015735113,0.0017140631,0.0012653831,0.0009930002,0.0012083432,0.00080202817,0.0010325831,0.001403612,0.001288296,0.00087350147,0.0008905109,0.0013911811,0.0009999346,0.00085777766,0.0013513863,0.0010665867,0.001159093,0.0015644818,0.00087036076,0.0007760228,0.0010435097,0.00069384713,0.001107805,0.0013289736,0.0010354718,0.0012925986,0.0009839736,0.00097459403,0.0007297871,0.00063638185,0.00090710225,0.0007053559,0.0005975558,0.0005101941,0.0006660826,0.00074430485,0.00069355796,0.0006220354,0.00055046834,0.0005148513,0.00038344157,0.00037420783,0.00037405497,0.0004483305,0.00039731615,0.00026689825,0.00021121016,7.71885e-05,6.45702e-05,3.2825435e-05,8.339479e-06,2.8499394e-06,7.3589456e-07,4.1493646e-08,3.8605683e-09
5,9oh9 Snr.wav,snare,0,0.052167512,0.035156578,1.4232864,4.7753663,4.0717688,0.72009957,0.9615822,0.43407136,0.13130902,0.075029455,0.074856825,0.050394416,0.02153777,0.020432161,0.014063122,0.019886259,0.018420832,0.010154581,0.009893879,0.010843828,0.012169737,0.0073370608,0.0105057,0.009886465,0.010817274,0.0064589637,0.007848824,0.0102288965,0.0069961827,0.0050099855,0.008416722,0.011513348,0.009794995,0.010402927,0.0094184745,0.007869265,0.008244236,0.00855898,0.009520892,0.008169083,0.0069408035,0.0073982957,0.008903959,0.006960317,0.008826502,0.006247995,0.004596661,0.008331822,0.0068119904,0.0065276558,0.009432658,0.0066207564,0.005716426,0.0067929197,0.007160001,0.0073002083,0.0049947267,0.0070453407,0.009105446,0.007266661,0.009479251,0.0083760135,0.008197289,0.010256075,0.009538168,0.009331961,0.0075844596,0.009649863,0.010943504,0.010663121,0.008856082,0.010876417,0.009496763,0.009297273,0.011675235,0.0092392545,0.012335394,0.008940863,0.0066961846,0.0077328766,0.006834331,0.010298217,0.00971634,0.012349923,0.010280881,0.008350811,0.0086356,0.009378201,0.009777287,0.00719281,0.007216121,0.006960494,0.008271825,0.007645823,0.0055692536,0.006612005,0.005374528,0.0048750015,0.005119193,0.005383492,0.0049913516,0.004410285,0.0042921426,0.0043937657,0.0059178695,0.008539379,0.006286704,0.0025831263,0.0026264605,0.004533752,0.003259402,0.0032848315,0.0032660826,0.0026274598,0.0021371013,0.0019983104,0.0011486921,0.0014261318,0.0010855212,0.0013870408,0.0010610773,0.000437264,0.00020340644,0.00010787782,3.2021428e-05,7.6293286e-06,1.4803622e-06,1.5757743e-07,1.456513e-08
6,AmbiStick.wav,snare,0,0.0015268611,0.025778798,0.21987827,0.29236874,0.05921893,0.011675871,0.013621517,0.011499252,0.016524224,0.015818153,0.027932212,0.04598996,0.24275605,0.6164851,0.80202776,0.148337,0.08026782,0.05048612,0.049503554,0.07326151,0.02361281,0.02703551,0.058506865,0.0732873,0.06319147,0.017793065,0.032466497,0.026854523,0.011532672,0.0019284202,0.0019778966,0.006547159,0.009495522,0.007412516,0.009300535,0.008463307,0.026624465,0.012112119,0.007891576,0.009408954,0.0035887721,0.0033053793,0.0021641643,0.0014490997,0.0013994351,0.0012824169,0.0014108843,0.0022105344,0.0066533866,0.008424438,0.0028584374,0.0040664864,0.005476232,0.001629719,0.00072511606,0.0012102782,0.00092417264,0.0020253852,0.002580004,0.0013880566,0.0019442864,0.0018504253,0.0013387698,0.0004104021,0.00022376515,0.00064835645,0.00061204116,0.0004718159,0.00058679417,0.0004688947,0.00074265705,0.0010251283,0.0010229592,0.0010899066,0.0007786231,0.00049493386,0.00038622099,0.00042601503,0.00055652135,0.00056275405,0.00039079587,0.00045200798,0.00031893858,0.00018862524,0.0001636106,0.00019414032,0.00021156519,0.000116078045,0.0001336347,0.0001384087,0.0003515937,0.0003044588,0.00029542527,0.00019850419,0.00016425522,0.0001896784,0.00014525434,9.2267284e-05,0.000117872456,0.00011037176,0.00012803251,0.00013155467,0.000115369585,0.00016297348,0.00031094058,0.00019167537,9.3632436e-05,6.3408894e-05,7.885918e-05,8.200714e-05,8.139148e-05,4.5431618e-05,3.8391034e-05,3.7905276e-05,5.0717168e-05,9.087817e-05,0.00010925543,6.220227e-05,8.9620655e-05,7.144307e-05,3.993849e-05,1.5276413e-05,7.790795e-06,4.67129e-06,1.1224048e-06,3.0962812e-07,1.0094996e-07,8.378845e-09,3.8029355e-10
7,AnaKick.wav,snare,0,0.06631718,0.25768477,4.5231423,4.1538887,0.3068362,0.16183905,0.1616018,0.14166945,0.18209499,0.089678235,0.09060296,0.07347753,0.023747118,0.017471895,0.02202996,0.011713492,0.021474963,0.021119468,0.026412008,0.028158348,0.01865009,0.015703253,0.016192146,0.015312813,0.010915267,0.008201878,0.0064395014,0.012989931,0.012469539,0.010806678,0.01055399,0.010285487,0.011038087,0.010558764,0.007082951,0.008986196,0.014888883,0.015438952,0.015008116,0.013502146,0.0138228275,0.00955503,0.018641641,0.028264225,0.01898152,0.008701299,0.008545827,0.014151193,0.016637668,0.014069547,0.01611219,0.013782348,0.010928807,0.012399776,0.011952896,0.016223574,0.01671485,0.00951752,0.0057597463,0.0095854765,0.009767114,0.009797237,0.012639931,0.011333429,0.013776845,0.018956488,0.015679795,0.010885529,0.0075656227,0.0078714825,0.008427563,0.01009319,0.008693311,0.010320396,0.0071802293,0.00638116,0.007770764,0.009277146,0.007798178,0.005200099,0.0045816144,0.0043510976,0.0044197775,0.005157443,0.0066490653,0.004184132,0.0034937654,0.0036288872,0.0030437277,0.0018939708,0.0030978443,0.0029424264,0.0028796096,0.0019723885,0.002707965,0.0026303618,0.002817489,0.0043605063,0.0021093842,0.0030192388,0.0025420645,0.0013283892,0.0011133963,0.0012248082,0.0013045925,0.0014937124,0.0017688953,0.0015578873,0.0017977355,0.0023026946,0.0015237747,0.0015257846,0.0015569181,0.001323445,0.0012576333,0.0015677778,0.0009974687,0.0009625314,0.00065916346,0.0006277828,0.0005952289,0.00040769627,0.00018557513,6.403055e-05,1.843118e-05,5.6810863e-06,4.538663e-07,7.163655e-08,3.0021936e-09
8,Assault.wav,snare,0,0.21948045,1.7642369,1.935337,1.6393678,0.824542,0.1915916,0.06743463,0.08026784,0.090465486,0.07765723,0.047735803,0.03905969,0.061168876,0.062998444,0.049706213,0.03148236,0.0314843,0.02899815,0.032722395,0.04125195,0.041374717,0.03207419,0.03172063,0.034082845,0.034249336,0.04188513,0.07844123,0.10774805,0.07817953,0.14327917,0.28671825,0.21608397,0.21106023,0.23006,0.16808777,0.21361667,0.24111815,0.230637,0.15174124,0.21901737,0.1994179,0.13384047,0.08001038,0.12889701,0.13442105,0.12066547,0.10123207,0.08946103,0.09466311,0.1015648,0.08016189,0.06907936,0.057445344,0.060232025,0.074085094,0.058852572,0.045383457,0.042541582,0.03611667,0.03919224,0.025559274,0.034528736,0.03920892,0.03479728,0.0542845,0.059377525,0.03644237,0.02763554,0.02431087,0.025726128,0.0405049,0.050546266,0.029134817,0.023591576,0.018057749,0.019813582,0.027338501,0.01874225,0.014147405,0.011643718,0.011929195,0.015815154,0.015436785,0.0074978974,0.0063638813,0.007361805,0.009972938,0.008977992,0.008734557,0.008048648,0.00713582,0.009336849,0.011944878,0.010123651,0.0059158527,0.0053988826,0.0034492721,0.0026556258,0.003108181,0.0031470729,0.0028150063,0.0024057168,0.0019909267,0.0016408818,0.0015965787,0.0012811051,0.0016442797,0.0017520041,0.0016759856,0.0012043667,0.0010576061,0.0013892171,0.0015464342,0.0012082369,0.00072048785,0.00071880966,0.0009346233,0.0006240394,0.00043574028,0.0003985297,0.00023544382,0.00012743988,7.168338e-05,5.8807233e-05,1.6018303e-05,3.5240857e-06,3.7057282e-07,4.9255036e-08,3.1681422e-09
9,Beauty.wav,snare,0,0.6163251,5.7160225,56.203686,31.318716,1.602717,1.2796186,1.8035872,0.29656455,0.2955382,0.17316262,0.09467828,0.06749441,0.034021396,0.056318402,0.06400433,0.06599843,0.072226465,0.05770129,0.04984651,0.04632379,0.042065006,0.030317642,0.028668901,0.0340605,0.034899153,0.022449648,0.015477649,0.016312636,0.019076854,0.019538473,0.01946269,0.01900514,0.019140605,0.014879297,0.019600691,0.023938635,0.008876601,0.013141354,0.021925546,0.02350426,0.013931012,0.010687046,0.010469518,0.011986443,0.009468079,0.009655394,0.008285032,0.00798,0.0069852383,0.015397546,0.012820941,0.010236695,0.006714122,0.010635801,0.012764006,0.009503325,0.0058152243,0.008037916,0.00888173,0.008395294,0.009758424,0.015071394,0.017607026,0.013668227,0.010544252,0.007776929,0.0060328725,0.004844535,0.005673048,0.010198511,0.010370897,0.017293844,0.013528403,0.019806359,0.032160286,0.022542862,0.013315265,0.011355627,0.019616231,0.01736302,0.011220454,0.008502389,0.008041836,0.007529984,0.007847824,0.008624569,0.009647001,0.01000173,0.0114571,0.009088495,0.007574655,0.010405654,0.013949741,0.011177771,0.008655214,0.0070812833,0.006761041,0.004123667,0.004101753,0.005420577,0.0065578194,0.005757398,0.0033696021,0.004286403,0.003980505,0.0031006953,0.0026176616,0.0025980433,0.0023803527,0.0034638823,0.0034032855,0.0024988633,0.0022814136,0.0019164778,0.0022410892,0.0018290125,0.0019197401,0.0013051984,0.0012538548,0.0012861803,0.000627817,0.00047547964,0.00026121858,0.000101928585,3.760317e-05,7.3337374e-06,1.3941476e-06,3.1371795e-07,1.39886875e-08
